country,sex,measure,model,year,projection,PI_lower,PI_upper
China,Both,ASDR,ETS,2032,375.4537773730414,368.1402748758085,382.76727987027436
China,Both,ASDR,ETS,2033,372.7242838153123,365.01517529378384,380.4333923368407
China,Both,ASDR,ETS,2034,369.99479025758313,361.90940902870017,378.0801714864661
China,Both,ASDR,ETS,2035,367.265296699854,358.8203914288611,375.71020197084687
China,Both,ASDR,ETS,2036,364.53580314212485,355.7460670564558,373.3255392277939
China,Both,ASDR,ETS,2037,361.8063095843957,352.6847693704086,370.9278497983828
China,Both,ASDR,ETS,2038,359.07681602666656,349.6351249019234,368.5185071514097
China,Both,ASDR,ETS,2039,356.3473224689374,346.5959858059602,366.09865913191464
China,Both,ASDR,ETS,2040,353.6178289112083,343.566381148105,363.66927667431156
China,Both,ASDR,ETS,2041,350.88833535347914,340.54548093344283,361.23118977351544
China,Both,ASDR,ETS,2042,348.15884179575,337.53256902615976,358.7851145653402
China,Both,ASDR,ETS,2043,345.42934823802085,334.5270224130693,356.3316740629724
China,Both,ASDR,ETS,2044,342.6998546802917,331.5282950840189,353.8714142765645
China,Both,ASDR,ETS,2045,339.97036112256257,328.53590533171945,351.4048169134057
China,Both,ASDR,ETS,2046,337.2408675648334,325.5494256241481,348.93230950551873
China,Both,ASDR,ETS,2047,334.5113740071043,322.5684744399101,346.45427357429844
China,Both,ASDR,ETS,2048,331.78188044937514,319.5927096206536,343.9710512780967
China,Both,ASDR,ETS,2049,329.052386891646,316.62182290961255,341.48295087367944
China,Both,ASDR,ETS,2050,326.32289333391685,313.65553542742754,338.99025124040617
China,Both,ASDR,ETS,2051,323.5933997761877,310.6935938958356,336.4932056565398
China,Both,ASDR,ETS,2052,320.86390621845857,307.7357674634622,333.99204497345494
China,Both,ASDR,ETS,2053,318.1344126607294,304.78184502037993,331.4869803010789
China,Both,ASDR,APC,2024,406.15930402551487,397.06306265751647,415.46392943828215
China,Both,ASDR,APC,2025,407.44682076363665,398.32174449539286,416.7809416498356
China,Both,ASDR,APC,2026,408.74557297990543,399.59141018448054,418.10944673094485
China,Both,ASDR,APC,2027,410.0556420239597,400.87213925253195,419.4495278948717
China,Both,ASDR,APC,2028,411.377110100626,402.164012063335,420.8012692296573
China,Both,ASDR,APC,2029,412.7100602784447,403.467109825048,422.16475570684315
China,Both,ASDR,APC,2030,414.05457649827315,404.7815145986101,423.54007319027164
China,Both,ASDR,APC,2031,415.4107435819776,406.1073093062384,424.9273084449768
China,Both,ASDR,APC,2032,416.7786472412931,407.4445777400894,426.3265491462473
China,Both,ASDR,APC,2033,418.1583740867009,408.79340457093804,427.7378838887075
China,Both,ASDR,APC,2034,419.550011636504,410.15387535704934,429.1614021956
China,Both,ASDR,APC,2035,420.95364832595436,411.52607655310175,430.59719452812317
China,Both,ASDR,APC,2036,422.3693735164768,412.9100955192041,432.0453522948655
China,Both,ASDR,APC,2037,423.79727750509716,414.3060205301128,433.5059678614501
China,Both,ASDR,APC,2038,425.2374515338524,415.7139407844311,434.97913456016005
China,Both,ASDR,APC,2039,426.6899877994381,417.1339464140408,436.4649466998074
China,Both,ASDR,APC,2040,428.1549794628978,418.56612849357407,437.9634995756442
China,Both,ASDR,APC,2041,429.6325206594319,420.01057905000306,439.474889479396
China,Both,ASDR,APC,2042,431.1227065083871,421.4673910724057,440.9992137094802
China,Both,ASDR,APC,2043,432.6256331232746,422.93665852175906,442.5365705812541
China,Both,ASDR,APC,2044,434.141397622005,424.41847634094563,444.08705943748384
China,Both,ASDR,APC,2045,435.6700981371736,425.9129404648079,445.6507806588655
China,Both,ASDR,APC,2046,437.21183382648536,427.42014783033966,447.2278356746886
China,Both,ASDR,APC,2047,438.76670488337146,428.9401963870654,448.8183269736967
China,Both,ASDR,APC,2048,440.3348125476137,430.4731851074263,450.42235811495414
